12.0	12.0	100.0	4.0267184	0.000563139062134344	7140.0
12.0	12.0	200.0	0.9497682505	0.00027925984995886237	14340.0
12.0	12.0	300.0	1.3569607000000001	0.00018567574076361047	21540.0
12.0	12.0	400.0	1.6687561	0.00013907226332661378	28812.0
12.0	12.0	500.0	2.1890006495	0.0001111697331163177	35940.0
12.0	12.0	600.0	2.6637352495	9.259268461052667e-5	43212.0
12.0	12.0	700.0	3.2423751495	7.933537734034317e-5	50412.0
12.0	12.0	800.0	3.7273143505000004	6.939894565121668e-5	57612.0
12.0	12.0	900.0	3.8478075005	6.167448182090877e-5	64740.0
12.0	12.0	1000.0	4.165388699	5.5497345538198166e-5	71940.0
12.0	12.0	1100.0	4.8047730495	5.044493238447954e-5	79140.0
12.0	12.0	1200.0	4.9852558995	4.62356917325194e-5	86340.0
12.0	12.0	1300.0	5.56874115	4.26748097688562e-5	93540.0
12.0	12.0	1400.0	5.9673145505	3.962319605626567e-5	100740.0
12.0	12.0	1500.0	6.661558849	3.697889009371161e-5	107940.0
